ELF sha256=cc9ccafdd549438d8455f0770c60db9295351cc4e07a0044f8d5e9eee1e26640
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=416 elapsed_us=2123697 samples=0
PC 40081daa
PC 40083a39
PC 40085a4b
PC 400835b2
PC 4008370e
PC 40084f15
PC 4008b90e
PC 40085a4b
PC 40083630
PC 4008b8e3
PC 40085a1a
PC 4010856c
PC 40085a32
PC 400835e0
PC 4008b8e0
PC 400835da
PC 40082f9f
PC 40103310
PC 40085a42
PC 40083e71
PC 40085a2a
PC 40084f4e
PC 40083f5b
PC 40085a26
PC 400d3569
PC 400835b0
PC 40085a3a
PC 4010330a
PC 40082fa2
PC 40085a2f
PC 40083746
PC 40108679
PC 40083f43
PC 4010733f
PC 40085a26
PC 40084cc5
PC 4010721a
PC 400857b4
PC 4008b8fd
PC 40083c0f
PC 40085a47
PC 40083e95
PC 4008b947
PC 40085a1c
PC 40085a26
PC 40085a63
PC 40085a3a
PC 40081ab0
PC 40085a49
PC 40082e8d
PC 4000c268
PC 40108517
PC 40085a4f
PC 4000c265
PC 4008bb85
PC 4000c268
PC 40085a28
PC 4008b968
PC 40083618
PC 40083d49
PC 40083b57
PC 401085dd
PC 40083d05
PC 4008361d
PC 40085020
PC 4008b97d
PC 400835f6
PC 4008b543
PC 40084cde
PC 40107214
PC 4008894a
PC 40084f1b
PC 4008b955
PC 40085a57
PC 4000c26f
PC 40083d56
PC 40082f26
PC 4010857f
PC 40083cfa
PC 40083616
PC 40109115
PC 40085a5d
PC 40085a3a
PC 400857e9
PC 40084bc9
PC 4000c273
PC 40083b11
PC 400835bf
PC 40082ea9
PC 4008b4e0
PC 40084cc5
PC 40082f30
PC 40107345
PC 40083618
PC 40085a3a
PC 4008b9d3
PC 40108538
PC 40083e89
PC 40085a32
PC 40085a3d
PC 4008b932
PC 40085a5a
PC 40088947
PC 40084c86
PC 40085a37
PC 4008b974
PC 40085a3d
PC 40082e91
PC 4008b463
PC 40083e64
PC 40083b79
PC 40084fb0
PC 40085a1e
PC 40082e8a
PC 40107353
PC 40083634
PC 40085a26
PC 40082f1f
PC 40084f54
PC 40085a37
PC 400835bb
PC 401084db
PC 40085a2a
PC 40082ef3
PC 4010330e
PC 4008b995
PC 40085a37
PC 4010734d
PC 4000c268
PC 40085a3f
PC 4008b963
PC 4010721f
PC 40083cff
PC 400835c7
PC 4008b8cf
